original_row_id,chunk_id,Translator,Top-3 alle
0,1,kas,"Die Top 3 Sachgebiete in diesem Text sind: Entwicklung und Zusammenarbeit, Struktur und Institution, Recht"
0,2,kas,"Die Top 3 Sachgebiete in diesem Text sind: Entwicklung und Zusammenarbeit, Struktur und Institution, Recht"
0,3,kas,"Die Top 3 Sachgebiete in diesem Text sind: Entwicklung und Zusammenarbeit, Struktur und Institution, Recht"
0,4,kas,"Die Top 3 Sachgebiete in diesem Text sind: Entwicklung und Zusammenarbeit, Struktur und Institution, Recht"
1,1,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,2,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,3,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,4,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,5,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,6,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,7,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,8,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,9,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,10,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,11,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,12,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
1,13,bec,"Die Top 3 Sachgebiete in diesem Text sind: Struktur und Institution, Entwicklung und Zusammenarbeit, Humanitäre Hilfe"
